epoch,loss,accuracy
1,0.8701831102371216,0.20679092407226562
2,0.8542463183403015,0.20160865783691406
3,0.823711633682251,0.34375253319740295
4,0.7981256246566772,0.4910430908203125
5,0.7754567265510559,0.5900154113769531
6,0.7537270784378052,0.657332718372345
7,0.734478235244751,0.7061358690261841
8,0.7150774598121643,0.7428689002990723
9,0.6976160407066345,0.7714390158653259
10,0.6809874773025513,0.7942951321601868
