slice_id,dice,accuracy
Case_008_107,NaN,0.9998893737792969
Case_008_51,0.962,0.9961643218994141
Case_008_121,NaN,0.9972699284553528
Case_008_38,0.9257,0.9964828491210938
Case_008_69,0.9724,0.9962142705917358
Case_008_108,NaN,0.9968287348747253
Case_008_89,0.9852,0.9971221089363098
Case_008_105,NaN,0.9974489212036133
Case_008_122,NaN,0.9976929426193237
Case_008_118,NaN,0.9976478815078735
Case_008_41,0.9364,0.9971774816513062
Case_008_50,0.9654,0.9968306422233582
Case_008_97,0.9367,0.9970394968986511
Case_008_132,NaN,0.9972139000892639
Case_008_147,NaN,0.995952844619751
Case_008_75,0.9751,0.9959640502929688
Case_008_54,0.9598,0.9957513213157654
Case_008_18,NaN,0.9959068298339844
Case_008_2,NaN,0.9961051940917969
Case_008_113,NaN,0.9962269067764282
Case_008_143,NaN,0.9945849180221558
Case_008_36,0.8936,0.9945586919784546
Case_008_72,0.9638,0.9945371747016907
Case_008_115,NaN,0.9946953654289246
Case_008_78,0.9672,0.994722306728363
Case_008_94,0.9849,0.9949034452438354
Case_008_59,0.9625,0.9948251247406006
Case_008_98,0.9008,0.9950034022331238
Case_008_112,NaN,0.9951333403587341
Case_008_63,0.9588,0.9950391054153442
Case_008_76,0.9756,0.9950804114341736
Case_008_21,NaN,0.9951801300048828
Case_008_103,NaN,0.9953116178512573
Case_008_99,NaN,0.9954475164413452
Case_008_110,NaN,0.9955657720565796
Case_008_96,0.9777,0.9956780672073364
Case_008_11,NaN,0.9957850575447083
Case_008_102,NaN,0.9958918690681458
Case_008_16,NaN,0.9959794878959656
Case_008_111,NaN,0.9960611462593079
Case_008_49,0.9687,0.9960014820098877
Case_008_25,NaN,0.9960539937019348
Case_008_29,0.487,0.996059775352478
Case_008_34,0.8477,0.9960213303565979
Case_008_123,NaN,0.9960979223251343
Case_008_6,NaN,0.9961743354797363
Case_008_37,0.9259,0.996150016784668
Case_008_9,NaN,0.9962185025215149
Case_008_128,NaN,0.9962722063064575
Case_008_77,0.9706,0.9962602257728577
Case_008_100,NaN,0.9963309168815613
Case_008_117,NaN,0.9963635802268982
Case_008_129,NaN,0.9964134097099304
